From	To
26909	EXO1_MOUSE
51800	BOK_MOUSE
51800	Q3TH93_MOUSE
18973	DPOE1_MOUSE
18973	Q3UR94_MOUSE
18973	Q80XH7_MOUSE
319581	Q8BG78_MOUSE
319581	XKR5_MOUSE
70979	FACOS_MOUSE
76459	CAH12_MOUSE
76459	Q8K2J1_MOUSE
76843	DTL_MOUSE
214901	CTF18_MOUSE
14042	EXT1_MOUSE
14042	Q3V1P4_MOUSE
11640	AKAP1_MOUSE
11640	Q9CTT7_MOUSE
69908	Q0PD62_MOUSE
69908	RAB3B_MOUSE
13555	E2F1_MOUSE
13555	Q547J6_MOUSE
21834	Q3UZT5_MOUSE
21834	THB_MOUSE
23834	CDC6_MOUSE
328660	BEX6_MOUSE
26886	CENPH_MOUSE
217216	CQ053_MOUSE
27354	NBN_MOUSE
19361	RAD51_MOUSE
30058	TIM8A_MOUSE
100039042	Q3TQZ4_MOUSE
19363	RA51B_MOUSE
67177	CDT1_MOUSE
18551	PCSK4_MOUSE
59083	FETUB_MOUSE
59083	Q6YJU1_MOUSE
59083	Q6YJU2_MOUSE
59083	Q8CB17_MOUSE
69270	PSF1_MOUSE
69270	Q8K1A2_MOUSE
68201	CCD34_MOUSE
68201	Q8BIA8_MOUSE
68385	TLCD1_MOUSE
76073	B7ZP24_MOUSE
76073	PCGF5_MOUSE
72155	CENPN_MOUSE
12021	BARD1_MOUSE
93737	PAR6G_MOUSE
93737	Q8CBL3_MOUSE
75870	Q80X70_MOUSE
75870	Q99NB3_MOUSE
110074	Q8VCG1_MOUSE
110074	Q9CQ43_MOUSE
16835	LDLR_MOUSE
79456	RECQ4_MOUSE
234577	CPNE2_MOUSE
211651	B2RSU4_MOUSE
211651	FACD2_MOUSE
211651	Q3UQJ0_MOUSE
70021	Q91X76_MOUSE
78925	Q8BUR8_MOUSE
78925	S5A1_MOUSE
66634	MCM8_MOUSE
67486	RPC7_MOUSE
60411	CENPK_MOUSE
67937	TM59L_MOUSE
208628	KNTC1_MOUSE
65099	G5E885_MOUSE
65099	IKBP1_MOUSE
98170	T132A_MOUSE
60530	FIGL1_MOUSE
319170	B2RVF0_MOUSE
319170	H2A1_MOUSE
17215	MCM3_MOUSE
17215	Q3UI57_MOUSE
57441	GEMI_MOUSE
57441	Q3V295_MOUSE
12545	CDC7_MOUSE
12545	Q66JY4_MOUSE
231821	E9PY16_MOUSE
231821	Q8BVR8_MOUSE
319554	G3XA48_MOUSE
319554	IDI1_MOUSE
67484	EEPD1_MOUSE
319148	B9EI85_MOUSE
319148	H32_MOUSE
27376	DIC_MOUSE
319166	B2RVF0_MOUSE
319166	H2A1_MOUSE
353187	NR1D2_MOUSE
353187	Q4VAB7_MOUSE
353187	Q8C598_MOUSE
353187	Q8C6J1_MOUSE
69168	BOLA1_MOUSE
232879	Q52KG4_MOUSE
19366	RAD54_MOUSE
106618	H7BX49_MOUSE
106618	WDR90_MOUSE
319186	B2RTK3_MOUSE
319186	H2B1M_MOUSE
57434	XRCC2_MOUSE
12544	CDC45_MOUSE
12544	F8WJ72_MOUSE
12544	Q3UI99_MOUSE
260423	B9EI85_MOUSE
260423	H32_MOUSE
18968	B9EHJ9_MOUSE
18968	DPOLA_MOUSE
19183	C4PFH5_MOUSE
19183	HOP2_MOUSE
72080	SAPC2_MOUSE
16069	IGJ_MOUSE
17217	MCM4_MOUSE
17217	Q3UA65_MOUSE
17217	Q542F4_MOUSE
14582	B7ZNH2_MOUSE
14582	GFI1B_MOUSE
70645	MS18B_MOUSE
17218	Q52KC3_MOUSE
15983	Q9D8U0_MOUSE
106344	RFC4_MOUSE
21877	KITH_MOUSE
22036	TRAIP_MOUSE
67629	SPC24_MOUSE
19891	Q3TE40_MOUSE
17219	MCM6_MOUSE
17219	Q542I2_MOUSE
52679	E2F7_MOUSE
52679	Q8BQ55_MOUSE
18974	DPOE2_MOUSE
97908	H31_MOUSE
12190	BRCA2_MOUSE
22171	Q544L2_MOUSE
22171	TYSY_MOUSE
432879	E9PYD7_MOUSE
17161	AOFA_MOUSE
17161	Q3TPD9_MOUSE
17161	Q3UJ53_MOUSE
17220	MCM7_MOUSE
17220	Q3U4T8_MOUSE
233876	HIRP3_MOUSE
209032	B9EHM1_MOUSE
209032	ZCCHL_MOUSE
208836	FANCI_MOUSE
68631	A7VMV2_MOUSE
68631	CRYL1_MOUSE
76267	FADS1_MOUSE
68014	G3X9Z0_MOUSE
68014	ZWILC_MOUSE
320685	DCTD_MOUSE
320685	G3X908_MOUSE
320685	Q3UUA6_MOUSE
70747	Q9D1X8_MOUSE
70747	TSN2_MOUSE
20810	Q543H0_MOUSE
20810	SPEE_MOUSE
98711	RDH10_MOUSE
98363	EFHD1_MOUSE
15201	HELLS_MOUSE
83383	Q9JIZ5_MOUSE
30877	GNL3_MOUSE
17216	MCM2_MOUSE
13340	S29A2_MOUSE
16881	DNLI1_MOUSE
16881	Q3TSU8_MOUSE
16881	Q3U4X8_MOUSE
238673	ZN367_MOUSE
27221	CAF1A_MOUSE
19362	R51A1_MOUSE
19075	PRI1_MOUSE
19075	Q5FW94_MOUSE
106795	G3XA31_MOUSE
106795	TCF19_MOUSE
72415	SGOL1_MOUSE
235435	LCTL_MOUSE
102920	CENPI_MOUSE
15277	HXK2_MOUSE
68176	F212A_MOUSE
105651	H3BJB2_MOUSE
22154	TBB5_MOUSE
269582	CLSPN_MOUSE
66422	DCTP1_MOUSE
20135	RIR2_MOUSE
68316	APOO_MOUSE
68316	B1ASQ2_MOUSE
68316	Q9D186_MOUSE
52033	TOPK_MOUSE
224796	CLIC5_MOUSE
381204	NALDL_MOUSE
319156	B2RTM0_MOUSE
319156	H4_MOUSE
272551	PSF2_MOUSE
50927	B1AU75_MOUSE
50927	B1AU76_MOUSE
50927	NASP_MOUSE
56702	H15_MOUSE
170826	PRGC2_MOUSE
12144	BLM_MOUSE
12144	E9PZ97_MOUSE
237877	ATAD5_MOUSE
56846	NECA3_MOUSE
18140	UHRF1_MOUSE
78697	B7ZNL8_MOUSE
78697	Q3ULP8_MOUSE
78697	Q3UQN6_MOUSE
78697	Q91VU7_MOUSE
227737	NIBL1_MOUSE
22247	Q544K9_MOUSE
22247	UMPS_MOUSE
66570	CENPM_MOUSE
381318	E9QME3_MOUSE
360198	H31_MOUSE
58186	E9Q392_MOUSE
58186	Q8CDH2_MOUSE
58186	Q8CED3_MOUSE
58186	RAD18_MOUSE
108156	C1TC_MOUSE
108156	Q3TW74_MOUSE
108156	Q8BXX7_MOUSE
99167	ADIP_MOUSE
99167	Q69ZV4_MOUSE
67849	CDCA5_MOUSE
17896	Q9CZ19_MOUSE
67222	SRFB1_MOUSE
240660	S35G1_MOUSE
11877	ARVC_MOUSE
72469	PLCD3_MOUSE
69912	NUP43_MOUSE
52009	HN1L_MOUSE
52009	Q3TJZ7_MOUSE
52009	Q3TM10_MOUSE
236930	ERC6L_MOUSE
20557	Q9Z0I5_MOUSE
22685	ZN239_MOUSE
268930	PMYT1_MOUSE
18538	PCNA_MOUSE
18538	Q542J9_MOUSE
319183	H2B1F_MOUSE
219114	SKA3_MOUSE
77011	TICRR_MOUSE
237911	FANCJ_MOUSE
59310	E9QNY3_MOUSE
59310	MYL10_MOUSE
14852	ERF3A_MOUSE
14852	Q8CCV1_MOUSE
20460	A2AD39_MOUSE
20460	STIL_MOUSE
319151	B9EI85_MOUSE
319151	H32_MOUSE
110749	CAF1B_MOUSE
13433	DNMT1_MOUSE
13433	J3QNW0_MOUSE
13433	Q3UHZ3_MOUSE
13433	Q3UWN4_MOUSE
211378	Q8BGU1_MOUSE
16975	B1AXJ3_MOUSE
16765	Q545B6_MOUSE
16765	STMN1_MOUSE
623230	D3Z0P8_MOUSE
20443	SIA4C_MOUSE
72749	G3UW83_MOUSE
72749	TONSL_MOUSE
14156	Q8C952_MOUSE
14156	Q91Z50_MOUSE
239554	FXRD2_MOUSE
67096	MMAC_MOUSE
69071	TMM97_MOUSE
70235	POC1A_MOUSE
319182	H2B1H_MOUSE
67121	GWL_MOUSE
105988	ESPL1_MOUSE
22390	WEE1_MOUSE
16551	KIF11_MOUSE
67164	LIPT2_MOUSE
13358	Q8JZU2_MOUSE
208366	RPP40_MOUSE
20259	ADSV_MOUSE
20259	Q3UWV5_MOUSE
407821	ZNRF3_MOUSE
57913	PIDD_MOUSE
231327	Q3TKC5_MOUSE
231327	Q3UGA8_MOUSE
231327	Q3UGU3_MOUSE
231327	Q8CIH9_MOUSE
71876	CENPU_MOUSE
56419	DIAP3_MOUSE
330830	CC135_MOUSE
22143	TBA1B_MOUSE
242466	B1AWL2_MOUSE
242466	Q69ZA0_MOUSE
242466	Q8CD61_MOUSE
445007	NUP85_MOUSE
13411	E9Q7N9_MOUSE
319191	B2RVF0_MOUSE
319191	H2A1_MOUSE
102644	OAF_MOUSE
109065	KTU_MOUSE
99010	LPCT4_MOUSE
20133	RIR1_MOUSE
15270	H2AX_MOUSE
19385	RANG_MOUSE
101612	GRWD1_MOUSE
101612	Q5XJZ3_MOUSE
22152	TBB3_MOUSE
11481	AVR2B_MOUSE
54373	Q5SZ30_MOUSE
54373	TSSP_MOUSE
20419	SHCBP_MOUSE
17341	BHA15_MOUSE
67196	UBE2T_MOUSE
73106	PRS57_MOUSE
27756	G3UZ96_MOUSE
27756	LSM2_MOUSE
27756	O35901_MOUSE
27756	Q3U9X2_MOUSE
72151	Q5HZI8_MOUSE
72151	RFC5_MOUSE
217031	TAD2A_MOUSE
19415	RASL1_MOUSE
319178	H2B1B_MOUSE
15510	CH60_MOUSE
13605	ECT2_MOUSE
67187	ZMY19_MOUSE
234396	A8VU90_MOUSE
76044	CNDG2_MOUSE
76044	Q3UT55_MOUSE
76044	Q3UU24_MOUSE
110033	KIF22_MOUSE
219072	HAUS4_MOUSE
233064	E9QK36_MOUSE
114663	IMPA2_MOUSE
114663	Q3U3B7_MOUSE
66336	B2RVI6_MOUSE
66336	CENPP_MOUSE
212377	MMS22_MOUSE
212377	Q3TPX2_MOUSE
21973	TOP2A_MOUSE
108671	DNJC9_MOUSE
107522	B2RQR8_MOUSE
107522	E9PUE3_MOUSE
107522	E9Q896_MOUSE
107522	E9QKA6_MOUSE
107522	ECE2_MOUSE
107522	Q80Z57_MOUSE
107522	Q80Z58_MOUSE
16905	LMNA_MOUSE
241627	WDR76_MOUSE
111175	PECR_MOUSE
13011	CYTF_MOUSE
13011	Q9QWL5_MOUSE
18971	DPOD1_MOUSE
12530	MPIP1_MOUSE
234258	NEIL3_MOUSE
20017	RPA2_MOUSE
68026	PAF15_MOUSE
319159	B2RTM0_MOUSE
319159	H4_MOUSE
12704	CTRO_MOUSE
12704	D3YU89_MOUSE
12704	D3Z1U0_MOUSE
12704	E9QL53_MOUSE
217946	CDA7L_MOUSE
68298	CND1_MOUSE
73420	CCSAP_MOUSE
209737	KIF15_MOUSE
72107	DCC1_MOUSE
72107	Q8C1P7_MOUSE
22041	TRFE_MOUSE
21917	LAP2A_MOUSE
21917	LAP2B_MOUSE
21917	Q3TNH0_MOUSE
21917	Q3TXQ1_MOUSE
12350	CAH3_MOUSE
381306	CA112_MOUSE
29858	PMM1_MOUSE
29858	Q545Q8_MOUSE
29858	Q91W01_MOUSE
635253	B1AY15_MOUSE
331623	BEND3_MOUSE
18392	ORC1_MOUSE
18392	Q3TPY7_MOUSE
18392	Q3UR71_MOUSE
242819	D3YUQ5_MOUSE
242819	RUN3B_MOUSE
56473	FADS2_MOUSE
17075	EPCAM_MOUSE
20877	AURKB_MOUSE
11792	APEX1_MOUSE
11792	Q544Z7_MOUSE
12235	A2APR8_MOUSE
12235	BUB1_MOUSE
12235	Q8K1K8_MOUSE
18263	DCOR_MOUSE
108147	PUR9_MOUSE
66131	TIPIN_MOUSE
665433	B2RVF0_MOUSE
665433	H2A1_MOUSE
20878	AURKA_MOUSE
20878	Q3TEY6_MOUSE
14211	SMC2_MOUSE
54364	Q3TF81_MOUSE
54364	RPP30_MOUSE
18972	DPOD2_MOUSE
102124	ENKD1_MOUSE
326620	B2RTM0_MOUSE
326620	H4_MOUSE
17865	MYBB_MOUSE
66902	MTAP_MOUSE
16592	FABP5_MOUSE
16592	Q497I3_MOUSE
23872	ETS2_MOUSE
23872	Q3UP99_MOUSE
21788	Q8BSB7_MOUSE
21788	TFPI1_MOUSE
226169	PPRC1_MOUSE
218973	E9QPB3_MOUSE
218973	WDHD1_MOUSE
30954	SIVA_MOUSE
70572	IPO5_MOUSE
20775	ERG1_MOUSE
20775	Q3TQK8_MOUSE
16580	E9PUA5_MOUSE
16580	KIFC1_MOUSE
16580	Q9JKY9_MOUSE
70772	D3Z3W4_MOUSE
70772	GGNB1_MOUSE
70472	ATAD2_MOUSE
70472	G3X963_MOUSE
70472	Q6IQY4_MOUSE
217666	L2HDH_MOUSE
12189	BRCA1_MOUSE
12189	Q6NV63_MOUSE
70333	RPA34_MOUSE
213582	MAP9_MOUSE
11534	ADK_MOUSE
11534	Q8BMC5_MOUSE
320209	DDX11_MOUSE
231014	B9EHI9_MOUSE
231014	K132L_MOUSE
12534	CDK1_MOUSE
215387	CND2_MOUSE
70083	A2RSN4_MOUSE
70083	METRN_MOUSE
13557	E2F3_MOUSE
13557	Q3TMJ9_MOUSE
13557	Q3UZJ0_MOUSE
13557	Q6PCM3_MOUSE
13557	Q6ZQJ8_MOUSE
319158	B2RTM0_MOUSE
319158	H4_MOUSE
74645	FA46C_MOUSE
73804	KIF2C_MOUSE
73804	Q3TTL2_MOUSE
73804	Q3UD72_MOUSE
381903	ALG8_MOUSE
245474	DKC1_MOUSE
51797	PYRG1_MOUSE
69706	D3YY91_MOUSE
11799	BIRC5_MOUSE
11799	Q549P2_MOUSE
66083	SETD6_MOUSE
18226	NUP62_MOUSE
18226	Q5FWJ9_MOUSE
11758	D3Z0Y2_MOUSE
11758	PRDX6_MOUSE
11758	Q6GT24_MOUSE
27401	Q569Z9_MOUSE
27401	SKP2_MOUSE
17025	HEM2_MOUSE
17025	Q9DD05_MOUSE
29870	GTSE1_MOUSE
29870	Q542Q3_MOUSE
16319	INCE_MOUSE
66468	SKA1_MOUSE
109242	KIF24_MOUSE
16907	LMNB2_MOUSE
16907	Q3V159_MOUSE
268697	CCNB1_MOUSE
268697	Q3TQW9_MOUSE
67141	FBX5_MOUSE
17345	E9PVX6_MOUSE
17345	Q7TSF6_MOUSE
72462	RRP1B_MOUSE
20317	PEDF_MOUSE
56452	Q3TQX1_MOUSE
56452	Q66JV6_MOUSE
381091	Q3U060_MOUSE
381091	Q3UUV9_MOUSE
71909	HAUS5_MOUSE
217653	M18BP_MOUSE
66977	NUF2_MOUSE
103743	TMM98_MOUSE
68964	CTC1_MOUSE
68964	E0CXE7_MOUSE
71846	E9PYH4_MOUSE
71846	SYCE2_MOUSE
56150	MD2L1_MOUSE
56150	Q5HZH8_MOUSE
114714	RA51C_MOUSE
213539	BAG2_MOUSE
17301	FOXD2_MOUSE
14450	PUR2_MOUSE
14450	Q3TH49_MOUSE
432677	VRTN_MOUSE
100502766	KIFC1_MOUSE
107435	HAT1_MOUSE
56524	B9EHZ5_MOUSE
56524	MPP6_MOUSE
56524	Q3UN60_MOUSE
66988	AMPL_MOUSE
100041585	D3Z6H8_MOUSE
71085	E9Q4T1_MOUSE
71085	RHG19_MOUSE
66442	SPC25_MOUSE
210544	TBC31_MOUSE
69504	ZN431_MOUSE
381293	L0N7N1_MOUSE
77782	Q3UTE0_MOUSE
77782	Q80XB7_MOUSE
77782	Q8CGS6_MOUSE
71242	SPA24_MOUSE
15331	HMGN2_MOUSE
15331	Q5BL14_MOUSE
319181	H2B1C_MOUSE
71988	ESCO2_MOUSE
225745	HAUS1_MOUSE
19650	Q3UI58_MOUSE
19650	Q6PAR4_MOUSE
19650	RBL1_MOUSE
117198	NS1BP_MOUSE
12404	CBLN1_MOUSE
12404	Q7TNF5_MOUSE
15366	HMMR_MOUSE
15366	Q3UPW7_MOUSE
70466	CKP2L_MOUSE
67900	MTFP1_MOUSE
72170	MIA40_MOUSE
54141	SPAG5_MOUSE
16571	KIF4_MOUSE
71820	A2BE91_MOUSE
71820	WDR34_MOUSE
234865	NU133_MOUSE
234865	Q8CDZ5_MOUSE
14235	Q6P1H7_MOUSE
71924	TBE_MOUSE
69101	YDJC_MOUSE
269424	JADE1_MOUSE
67553	GSTCD_MOUSE
319184	B2RVD5_MOUSE
319184	H2B1K_MOUSE
72640	G3UYU0_MOUSE
17387	MMP14_MOUSE
17387	Q3TQH0_MOUSE
50709	H14_MOUSE
230484	UBP1_MOUSE
67242	GEMI6_MOUSE
97165	HMGB2_MOUSE
67122	NRARP_MOUSE
233826	D3YVU6_MOUSE
233826	PALB2_MOUSE
240514	CC85B_MOUSE
66214	RGCC_MOUSE
70025	BACH_MOUSE
70025	E9PYH2_MOUSE
108115	SO4A1_MOUSE
56520	NDKM_MOUSE
218977	DLGP5_MOUSE
108961	E2F8_MOUSE
12449	CCNF_MOUSE
328162	TRM61_MOUSE
67628	AN32B_MOUSE
20641	SMD1_MOUSE
209334	GEN_MOUSE
22145	TBA4A_MOUSE
69263	Q3TKD1_MOUSE
69263	RFC3_MOUSE
71643	Q8BQU5_MOUSE
71643	ZGRF1_MOUSE
66311	B2RVH1_MOUSE
66311	CENPW_MOUSE
319187	H2B1F_MOUSE
666938	BEND4_MOUSE
16906	LMNB1_MOUSE
69736	NUP37_MOUSE
75071	Q9D519_MOUSE
15982	IFRD1_MOUSE
22137	Q3TPW2_MOUSE
22137	Q8BX21_MOUSE
22137	Q8BY97_MOUSE
237823	PUR4_MOUSE
71878	FA83D_MOUSE
103733	Q6F4J1_MOUSE
103733	TBG1_MOUSE
240641	B7ZWN1_MOUSE
240641	KI20B_MOUSE
20937	SUV91_MOUSE
68147	GAR1_MOUSE
21335	Q6NV52_MOUSE
21335	Q99LH8_MOUSE
117109	POP5_MOUSE
52276	BOREA_MOUSE
56390	Q545N1_MOUSE
56390	Q9D002_MOUSE
56390	SSA27_MOUSE
74148	CLU_MOUSE
54392	E9PWG6_MOUSE
12448	A2API1_MOUSE
12448	CCNE2_MOUSE
12448	Q544H6_MOUSE
12569	CD5R1_MOUSE
12569	Q542T9_MOUSE
64707	SUV92_MOUSE
22596	XRCC5_MOUSE
70551	TMTC4_MOUSE
19088	KAP3_MOUSE
80838	H11_MOUSE
19348	KI20A_MOUSE
319185	H2B1F_MOUSE
11702	DCAM1_MOUSE
11702	DCAM2_MOUSE
75597	MIMIT_MOUSE
67042	IFT27_MOUSE
71761	HUTI_MOUSE
69617	PREP_MOUSE
108907	NUSAP_MOUSE
17089	LYAR_MOUSE
55989	NOP58_MOUSE
17319	MIF_MOUSE
17319	Q545F0_MOUSE
51788	H2AZ_MOUSE
276919	Q6P6L6_MOUSE
66446	EXOS7_MOUSE
270906	PRR11_MOUSE
18432	MBB1A_MOUSE
18432	Q3U2W2_MOUSE
15526	GRP75_MOUSE
230098	ARG39_MOUSE
72504	G5E8Z2_MOUSE
70385	SPDLY_MOUSE
14783	GRB10_MOUSE
278676	Q6UY53_MOUSE
68493	NDUF4_MOUSE
269378	Q3TF14_MOUSE
269378	Q5M9P0_MOUSE
269378	SAHH_MOUSE
72119	Q8BTJ3_MOUSE
72119	TPX2_MOUSE
319169	H2A1K_MOUSE
14297	FRDA_MOUSE
14297	Q3TV21_MOUSE
78658	CNDD3_MOUSE
78658	K4DI67_MOUSE
78658	Q3UTU7_MOUSE
78658	Q80W41_MOUSE
210035	Q8K2N3_MOUSE
210035	T194A_MOUSE
382038	E9Q7L1_MOUSE
68981	RU2A_MOUSE
50883	CHK2_MOUSE
50883	Q543W6_MOUSE
12069	BEX2_MOUSE
13361	DYR_MOUSE
13361	Q544T5_MOUSE
59014	RRS1_MOUSE
12428	CCNA2_MOUSE
17279	MELK_MOUSE
72544	EXOS6_MOUSE
19076	PRI2_MOUSE
12416	CBX2_MOUSE
76927	TSACC_MOUSE
93842	TUTLA_MOUSE
17766	8ODP_MOUSE
20670	Q5F2B2_MOUSE
20670	SOX15_MOUSE
223970	RMI2_MOUSE
319172	B2RVF0_MOUSE
319172	H2A1_MOUSE
51869	RIF1_MOUSE
67054	PUR6_MOUSE
71916	DUS4L_MOUSE
73379	DCBD2_MOUSE
100088	Q3U6D2_MOUSE
100088	Q6PFB2_MOUSE
100088	RCC1_MOUSE
319153	H31_MOUSE
12484	CD24_MOUSE
12484	Q3THW4_MOUSE
12484	Q8CEU3_MOUSE
110196	FPPS_MOUSE
110196	Q4FJN9_MOUSE
327799	UBP44_MOUSE
56009	ALRF2_MOUSE
56009	G3X9I4_MOUSE
20501	MOT1_MOUSE
20501	Q544N9_MOUSE
228421	KI18A_MOUSE
218581	DEP1B_MOUSE
12419	CBX5_MOUSE
268465	EME1_MOUSE
245688	Q8C5H3_MOUSE
245688	RBBP7_MOUSE
108100	B1AZ46_MOUSE
108100	BAIP2_MOUSE
108100	Q3UKP6_MOUSE
68729	Q5SX31_MOUSE
68729	TRI37_MOUSE
107995	CDC20_MOUSE
71648	OPTN_MOUSE
56361	H7BX59_MOUSE
56361	TRUA_MOUSE
227522	A2AJG0_MOUSE
20438	A2AHZ2_MOUSE
20438	SIA1B_MOUSE
17299	TRMB_MOUSE
319188	H2B1P_MOUSE
14104	FAS_MOUSE
71934	CAH13_MOUSE
18817	PLK1_MOUSE
18817	Q3TPZ2_MOUSE
80986	CKAP2_MOUSE
224171	CIP2A_MOUSE
14635	GALK1_MOUSE
14635	Q9CXZ9_MOUSE
381511	A2AJP9_MOUSE
381511	A8Y5Q1_MOUSE
381511	PDP1_MOUSE
15505	HS105_MOUSE
75216	B7ZNX8_MOUSE
75216	CE128_MOUSE
231801	AGFG2_MOUSE
231801	Q3U2K8_MOUSE
66471	AN32E_MOUSE
66471	E9Q5H9_MOUSE
66471	Q3TX26_MOUSE
23859	D3YWU0_MOUSE
23859	DLG2_MOUSE
69665	F8WJ60_MOUSE
69665	UPK3L_MOUSE
193736	Q9Z150_MOUSE
12316	ASPM_MOUSE
12316	B1ARM8_MOUSE
12316	Q4G1G9_MOUSE
74044	TTF2_MOUSE
107094	Q3UJA1_MOUSE
107094	RRP12_MOUSE
15519	HS90A_MOUSE
15519	Q80Y52_MOUSE
270685	C1TM_MOUSE
271842	RUSD2_MOUSE
14228	FKBP4_MOUSE
664968	Q9D7T0_MOUSE
664968	TM238_MOUSE
224530	Q80X81_MOUSE
26934	RGAP1_MOUSE
227613	TBB4B_MOUSE
12070	BEX3_MOUSE
66912	BZW2_MOUSE
319189	H2B2B_MOUSE
30059	TIM10_MOUSE
18230	NXN_MOUSE
67967	Q8BH76_MOUSE
226539	SYDM_MOUSE
12261	Q8R5L1_MOUSE
65221	S15A3_MOUSE
101565	CP110_MOUSE
66409	Q8BVY0_MOUSE
27966	U3IP2_MOUSE
72290	LSM11_MOUSE
72290	Q5SUH5_MOUSE
228482	RHGBA_MOUSE
68519	D3Z4J9_MOUSE
68519	EMAL1_MOUSE
78833	PSF3_MOUSE
244329	MCPH1_MOUSE
68743	ANLN_MOUSE
12575	CDN1A_MOUSE
12575	Q564P6_MOUSE
71685	GLT14_MOUSE
71685	Q08EC9_MOUSE
236539	SERA_MOUSE
66949	TRI59_MOUSE
20515	S20A1_MOUSE
64540	Q4FJW7_MOUSE
64540	TSN4_MOUSE
73390	G3X992_MOUSE
99151	B2RSF7_MOUSE
99151	GT253_MOUSE
12442	CCNB2_MOUSE
12497	Q3U0P5_MOUSE
319161	B2RTM0_MOUSE
319161	H4_MOUSE
226419	DYRK3_MOUSE
16647	IMA1_MOUSE
16647	Q52L97_MOUSE
15893	ICA69_MOUSE
12585	CDR2_MOUSE
226610	FA78B_MOUSE
66973	Q542W5_MOUSE
66973	RT18B_MOUSE
66929	ASF1B_MOUSE
71819	KIF23_MOUSE
67037	PMF1_MOUSE
11486	ADA_MOUSE
11486	Q4FK28_MOUSE
102448	Q3TMS3_MOUSE
102448	XYLB_MOUSE
260305	NPHP4_MOUSE
260305	Q8CGY9_MOUSE
19384	RAN_MOUSE
76131	D3Z6J1_MOUSE
76131	DEP1A_MOUSE
69554	KLDC2_MOUSE
72171	SHQ1_MOUSE
14793	CDCA3_MOUSE
235604	CAMKV_MOUSE
239408	TMM74_MOUSE
78733	TROAP_MOUSE
15384	Q20BD0_MOUSE
15384	Q544Z3_MOUSE
15384	ROAA_MOUSE
69724	RNH2A_MOUSE
21873	ZO2_MOUSE
110312	MCH_MOUSE
12532	MPIP3_MOUSE
12532	Q3UR74_MOUSE
76954	ST5_MOUSE
621832	NTF2_MOUSE
319160	B2RTM0_MOUSE
319160	H4_MOUSE
71804	MTFR2_MOUSE
71804	Q9D0I1_MOUSE
71804	Q9D456_MOUSE
74104	ABCB6_MOUSE
668158	CC85C_MOUSE
12236	BUB1B_MOUSE
12236	Q3UZD6_MOUSE
240084	CCHCR_MOUSE
240084	Q3TWA2_MOUSE
71963	CDCA4_MOUSE
69684	AASD1_MOUSE
68539	TM109_MOUSE
110460	THIC_MOUSE
17427	MNS1_MOUSE
319150	B9EI85_MOUSE
319150	H32_MOUSE
23918	IMDH2_MOUSE
23918	Q3UAT9_MOUSE
404710	F8VQ29_MOUSE
231946	F221A_MOUSE
70238	E9PYW4_MOUSE
70238	RN168_MOUSE
107272	Q3U6K9_MOUSE
107272	Q543K5_MOUSE
107272	SERC_MOUSE
116914	Q8BRH5_MOUSE
116914	Q8R4Y1_MOUSE
116914	Q9EQN9_MOUSE
27371	Q5D0E4_MOUSE
27371	SH22A_MOUSE
110052	DEK_MOUSE
110052	Q3UR53_MOUSE
54124	CKS1_MOUSE
73254	CCD18_MOUSE
237211	FANCB_MOUSE
237211	Q3TEX6_MOUSE
28126	NOP16_MOUSE
68097	DYL2_MOUSE
193452	ZN184_MOUSE
